log(g) Teff a1 a2 a3 a4 I1 beaming
6.5 4000.0 1.2576 -0.7284 0.2701 -0.0297 1.41909e-06 -4.5104
6.5 4250.0 1.5325 -1.4794 1.069 -0.3299 1.9357e-06 -4.0707
6.5 4500.0 1.6553 -1.8229 1.443 -0.472 2.67728e-06 -3.6807
6.5 4750.0 1.6851 -1.8449 1.4515 -0.4713 3.69779e-06 -3.3324
6.5 5000.0 1.4558 -1.2095 0.8019 -0.2313 5.19215e-06 -3.0198
6.5 5250.0 1.2403 -0.6354 0.2415 -0.0296 6.98394e-06 -2.7379
6.5 5500.0 0.8909 0.2532 -0.6077 0.2693 9.1175e-06 -2.4824
6.5 5750.0 0.4757 1.2778 -1.5731 0.5999 1.15986e-05 -2.2501
6.5 6000.0 0.1207 2.1134 -2.3322 0.8483 1.43932e-05 -2.038
6.5 6250.0 -0.0992 2.5658 -2.6865 0.9457 1.75076e-05 -1.8437
6.5 6500.0 -0.1999 2.7005 -2.7193 0.9281 2.09492e-05 -1.6652
6.5 7000.0 -0.2489 2.6154 -2.4658 0.7887 2.89266e-05 -1.3489
6.5 7500.0 -0.2375 2.4517 -2.1913 0.6535 3.85404e-05 -1.0778
6.5 8000.0 -0.2479 2.4622 -2.1835 0.6335 5.00262e-05 -0.8432
6.5 8500.0 -0.2755 2.6639 -2.4968 0.7614 6.35767e-05 -0.6387
6.5 9000.0 -0.2519 2.8481 -2.9058 0.9579 7.91816e-05 -0.4592
6.5 9500.0 -0.0807 2.5963 -2.8532 0.9915 9.65238e-05 -0.3005
6.5 10000.0 0.1243 2.0876 -2.4072 0.8561 0.000114375 -0.1594
6.5 10500.0 0.2959 1.4927 -1.7368 0.6159 0.000131263 -0.0333
6.5 11000.0 0.4794 0.7673 -0.8725 0.3019 0.00014594 0.0799
6.5 11500.0 0.6024 0.3164 -0.3274 0.089 0.000160553 0.1821
6.5 12000.0 0.6549 0.1782 -0.2039 0.0474 0.000174627 0.2747
6.5 12500.0 0.6909 0.0858 -0.134 0.0277 0.00018852 0.3589
6.5 13000.0 0.7123 0.0193 -0.0814 0.0122 0.000202416 0.4358
6.5 13500.0 0.7286 -0.0393 -0.0307 -0.0041 0.000216302 0.5062
6.5 14000.0 0.7348 -0.0754 -0.0003 -0.0137 0.000230271 0.5709
