log(g) Teff a1 a2 a3 a4 I1 beaming
6.25 16500.0 0.5566 -0.4113 0.4275 -0.1731 0.000156039 1.323
6.25 17000.0 0.5591 -0.4301 0.4453 -0.1791 0.000162403 1.3458
6.25 20000.0 0.6165 -0.6286 0.6406 -0.2482 0.000202174 1.4563
6.25 25000.0 0.8224 -1.1281 1.1028 -0.4057 0.000277268 1.5765
6.25 30000.0 0.7519 -0.899 0.7928 -0.2756 0.000377762 1.6535
6.25 35000.0 0.5098 -0.4895 0.4128 -0.1446 0.00049499 1.7069
6.25 40000.0 0.4515 -0.5041 0.4746 -0.176 0.000586582 1.7462
6.25 45000.0 0.4635 -0.6289 0.6276 -0.2361 0.00066194 1.7762
6.25 50000.0 0.4995 -0.7798 0.7952 -0.2992 0.00073182 1.7999
6.25 55000.0 0.5411 -0.9215 0.9456 -0.3546 0.0007954 1.819
6.25 60000.0 0.5839 -1.0517 1.0796 -0.4032 0.000855703 1.8348
6.5 3750.0 2.0501 -3.0665 2.6686 -0.9096 3.88616e-06 -2.0559
6.5 4000.0 1.8422 -2.703 2.3451 -0.7998 4.69892e-06 -1.7515
6.5 4250.0 1.7724 -2.5951 2.2546 -0.7701 5.75728e-06 -1.485
6.5 4500.0 1.7485 -2.5594 2.2277 -0.7619 7.10559e-06 -1.2501
6.5 4750.0 1.6434 -2.2138 1.8296 -0.6045 8.74935e-06 -1.0418
6.5 5000.0 1.4174 -1.5739 1.1499 -0.3489 1.10903e-05 -0.8561
6.5 5250.0 1.1624 -0.8728 0.4313 -0.085 1.32688e-05 -0.6896
6.5 5500.0 0.785 0.1059 -0.5356 0.26 1.56093e-05 -0.5397
6.5 5750.0 0.3691 1.1131 -1.4813 0.5819 1.81172e-05 -0.4042
6.5 6000.0 0.0543 1.7987 -2.0605 0.7589 2.07678e-05 -0.2812
6.5 6250.0 -0.1038 2.0511 -2.1865 0.7688 2.35623e-05 -0.1692
6.5 6500.0 -0.1509 2.0292 -2.0521 0.6909 2.64954e-05 -0.0668
6.5 7000.0 -0.1277 1.7529 -1.6131 0.4922 3.28148e-05 0.1135
6.5 7500.0 -0.0588 1.4317 -1.1856 0.3111 3.97706e-05 0.2669
6.5 8000.0 -0.0128 1.2425 -0.9447 0.2077 4.74023e-05 0.3987
6.5 8500.0 0.001 1.2161 -0.9343 0.2022 5.56915e-05 0.5129
6.5 9000.0 0.0232 1.2237 -1.01 0.2422 6.44688e-05 0.6128
6.5 9500.0 0.1375 0.9605 -0.8042 0.185 7.32946e-05 0.7008
6.5 10000.0 0.2823 0.5351 -0.3805 0.0415 8.12661e-05 0.7788
6.5 10500.0 0.4114 0.1264 0.0329 -0.0941 8.74825e-05 0.8483
6.5 11000.0 0.5108 -0.1623 0.2748 -0.1529 9.18013e-05 0.9107
6.5 11500.0 0.5377 -0.2257 0.2891 -0.1373 9.68778e-05 0.967
6.5 12000.0 0.5424 -0.2359 0.2793 -0.1283 0.000102595 1.0179
6.5 12500.0 0.5436 -0.2427 0.2721 -0.1225 0.000108382 1.0642
6.5 13000.0 0.5378 -0.2395 0.2592 -0.1153 0.000114201 1.1065
6.5 13500.0 0.549 -0.2828 0.2982 -0.128 0.000120067 1.1452
6.5 14000.0 0.5488 -0.3002 0.3129 -0.1322 0.000126008 1.1809
6.5 14500.0 0.55 -0.3226 0.3355 -0.1402 0.000132024 1.2137
6.5 15000.0 0.5508 -0.342 0.3545 -0.1466 0.000138116 1.2441
