Mass Teff Radius H_mass
0.300  3208 0.017587 4
0.300  3157 0.017581 4
0.300  3108 0.017575 4
0.300  3060 0.017569 4
0.300  3011 0.017564 4
0.300  2963 0.017559 4
0.300  2913 0.017554 4
0.300  2862 0.017550 4
0.300  2807 0.017546 4
0.300  2756 0.017542 4
0.300  2705 0.017538 4
0.300  2652 0.017535 4
0.300  2602 0.017531 4
0.300  2552 0.017528 4
0.300  2501 0.017525 4
0.300 23917 0.037626 4
0.300 23419 0.036080 4
0.300 22950 0.034826 4
0.300 22514 0.033791 4
0.300 22101 0.032908 4
0.300 21710 0.032135 4
0.300 21334 0.031447 4
0.300 20972 0.030827 4
0.300 20623 0.030260 4
0.300 20283 0.029737 4
0.300 19951 0.029252 4
0.300 19626 0.028800 4
0.300 19309 0.028375 4
0.300 18997 0.027976 4
0.300 18686 0.027598 4
0.300 18378 0.027239 4
0.300 18071 0.026899 4
0.300 17767 0.026577 4
0.300 17467 0.026269 4
0.300 17172 0.025978 4
0.300 16882 0.025699 4
0.300 16594 0.025434 4
0.300 16310 0.025180 4
0.300 16030 0.024936 4
0.300 15751 0.024704 4
0.300 15474 0.024480 4
0.300 15199 0.024266 4
0.300 14927 0.024060 4
0.300 14657 0.023863 4
0.300 14394 0.023673 4
0.300 14133 0.023490 4
0.300 13879 0.023314 4
0.300 13630 0.023144 4
0.300 13387 0.022981 4
0.300 13150 0.022824 4
0.300 12915 0.022673 4
0.300 12683 0.022526 4
0.300 12451 0.022385 4
0.300 12223 0.022248 4
0.300 11997 0.022115 4
0.300 11774 0.021987 4
0.300 11556 0.021863 4
0.300 11341 0.021744 4
0.300 11130 0.021629 4
0.300 10921 0.021519 4
0.300 10714 0.021414 4
0.300 10509 0.021314 4
0.300 10308 0.021217 4
0.300 10107 0.021124 4
0.300  9917 0.021022 4
0.300  9799 0.020951 4
0.300  9683 0.020889 4
0.300  9573 0.020824 4
0.300  9419 0.020731 4
0.300  9272 0.020649 4
0.300  9133 0.020569 4
0.300  8964 0.020475 4
0.300  8796 0.020385 4
0.300  8632 0.020300 4
0.300  8471 0.020214 4
0.300  8313 0.020135 4
0.300  8161 0.020053 4
0.300  8009 0.019980 4
0.300  7860 0.019910 4
0.300  7716 0.019837 4
0.300  7573 0.019772 4
0.300  7435 0.019705 4
0.300  7300 0.019637 4
0.300  7166 0.019578 4
0.300  7037 0.019514 4
0.300  6909 0.019456 4
0.300  6784 0.019399 4
0.300  6661 0.019345 4
0.300  6540 0.019291 4
0.300  6422 0.019239 4
0.300  6308 0.019184 4
0.300  6194 0.019132 4
0.300  6082 0.019083 4
0.300  5973 0.019032 4
0.300  5865 0.018981 4
0.300  5761 0.018925 4
0.300  5657 0.018877 4
0.300  5556 0.018821 4
0.300  5455 0.018778 4
0.300  5391 0.018742 4
0.300  5302 0.018690 4
0.300  5206 0.018644 4
0.300  5114 0.018584 4
0.300  5029 0.018528 4
0.300  4944 0.018467 4
0.300  4868 0.018397 4
0.300  4794 0.018344 4
